,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
157,16,08/12/2018 19:45,King Power Stadium,Leicester,Spurs,0 - 2,D,16.27650902414137,55.969897490793805,27.753593485064815
158,16,09/12/2018 16:00,St. James' Park,Newcastle,Wolves,1 - 2,D,19.59282789509641,57.95577771999826,22.451394384905342
159,16,10/12/2018 20:00,Goodison Park,Everton,Watford,2 - 2,D,19.68118472348899,59.68891298181561,20.62990229469539
160,17,15/12/2018 12:30,Etihad Stadium,Man City,Everton,3 - 1,H,9.045391325074994e-05,0.14585215331218193,99.85405739277458
161,17,15/12/2018 15:00,Selhurst Park,Crystal Palace,Leicester,1 - 0,D,22.66425339554194,64.25919950851214,13.076547095945903
162,17,15/12/2018 15:00,John Smith's Stadium,Huddersfield,Newcastle,0 - 1,D,10.97301652140357,61.607663946250504,27.41931953234593
163,17,15/12/2018 15:00,Tottenham Hotspur Stadium,Spurs,Burnley,1 - 0,D,19.619029057450696,54.70539228477258,25.67557865777672
164,17,15/12/2018 15:00,Vicarage Road,Watford,Cardiff,3 - 2,D,20.117408026079485,59.66687467685482,20.215717297065694
165,17,15/12/2018 15:00,Molineux Stadium,Wolves,Bournemouth,2 - 0,D,18.35294046386018,64.25309944270063,17.39396009343919
166,17,15/12/2018 17:30,Craven Cottage,Fulham,West Ham,0 - 2,D,14.284394199751322,66.72564932479537,18.989956475453322
167,17,16/12/2018 13:30,Amex Stadium,Brighton,Chelsea,1 - 2,D,11.578947033489296,67.44228005504908,20.97877291146162
168,17,16/12/2018 13:30,St. Mary's Stadium,Southampton,Arsenal,3 - 2,D,15.584842122763842,60.98367326455586,23.431484612680293
169,17,16/12/2018 16:00,Anfield,Liverpool,Man Utd,3 - 1,D,32.49510969588145,54.85440140826889,12.650488895849652
170,18,21/12/2018 20:00,Molineux Stadium,Wolves,Liverpool,0 - 2,D,22.39132326954624,60.057019604001525,17.551657126452223
171,18,22/12/2018 12:30,Emirates Stadium,Arsenal,Burnley,3 - 1,D,18.510472315090304,55.7915042303179,25.698023454591794
172,18,22/12/2018 15:00,Vitality Stadium,Bournemouth,Brighton,2 - 0,D,23.364977880788416,54.7004805383147,21.934541580896898
173,18,22/12/2018 15:00,Stamford Bridge,Chelsea,Leicester,0 - 1,D,25.06199897927755,57.598292891817415,17.33970812890503
174,18,22/12/2018 15:00,John Smith's Stadium,Huddersfield,Southampton,1 - 3,D,18.98190205334553,60.59683546502098,20.42126248163348
175,18,22/12/2018 15:00,Etihad Stadium,Man City,Crystal Palace,2 - 3,A,99.77028673866467,0.22963408285260464,7.91784827355607e-05
176,18,22/12/2018 15:00,St. James' Park,Newcastle,Fulham,0 - 0,D,15.453645812198506,64.78119100037902,19.765163187422477
177,18,22/12/2018 15:00,London Stadium,West Ham,Watford,0 - 2,D,17.993689691126193,65.56527491472328,16.441035394150543
178,18,22/12/2018 17:30,Cardiff City Stadium,Cardiff,Man Utd,1 - 5,D,28.815066919086576,57.653971712642104,13.530961368271319
179,18,23/12/2018 16:00,Goodison Park,Everton,Spurs,2 - 6,D,14.845442841744397,58.42449944532443,26.730057712931178
180,19,26/12/2018 12:30,Craven Cottage,Fulham,Wolves,1 - 1,D,22.102384532975634,53.858831902392645,24.038783564631718
181,19,26/12/2018 15:00,Turf Moor,Burnley,Everton,1 - 5,H,7.869295855847023e-05,0.1781652012179065,99.82175610582354
182,19,26/12/2018 15:00,Selhurst Park,Crystal Palace,Cardiff,0 - 0,D,18.995678961424797,64.82485111238489,16.17946992619032
183,19,26/12/2018 15:00,King Power Stadium,Leicester,Man City,2 - 1,D,21.540393683268675,52.09615786509103,26.363448451640288
184,19,26/12/2018 15:00,Anfield,Liverpool,Newcastle,4 - 0,D,15.232478440880312,58.36826690733826,26.39925465178143
185,19,26/12/2018 15:00,Old Trafford,Man Utd,Huddersfield,3 - 1,D,15.003092320601866,61.97767424577396,23.019233433624176
186,19,26/12/2018 15:00,Tottenham Hotspur Stadium,Spurs,Bournemouth,5 - 0,D,16.50207534098708,61.70100716715744,21.79691749185548
187,19,26/12/2018 17:15,Amex Stadium,Brighton,Arsenal,1 - 1,D,11.553818139015323,59.76160865262674,28.684573208357943
188,19,26/12/2018 19:30,Vicarage Road,Watford,Chelsea,1 - 2,D,16.28035181777528,66.85073968867634,16.868908493548375
189,19,27/12/2018 19:45,St. Mary's Stadium,Southampton,West Ham,1 - 2,D,13.742605556466108,68.06774910817526,18.18964533535864
190,20,29/12/2018 15:00,Amex Stadium,Brighton,Everton,1 - 0,H,4.23365793011995e-05,0.14630611222519352,99.85365155119551
191,20,29/12/2018 15:00,Craven Cottage,Fulham,Huddersfield,1 - 0,D,17.567102889515105,60.814403927481834,21.61849318300307
192,20,29/12/2018 15:00,King Power Stadium,Leicester,Cardiff,0 - 1,D,24.498470783305322,52.25311885031344,23.248410366381243
193,20,29/12/2018 15:00,Tottenham Hotspur Stadium,Spurs,Wolves,1 - 3,D,24.668481423172516,50.74082902527006,24.590689551557425
194,20,29/12/2018 15:00,Vicarage Road,Watford,Newcastle,1 - 1,D,11.266315632975065,61.19162556641016,27.542058800614782
195,20,29/12/2018 17:30,Anfield,Liverpool,Arsenal,5 - 1,D,21.838047512145078,56.18054688828986,21.981405599565047
196,20,30/12/2018 12:00,Selhurst Park,Crystal Palace,Chelsea,0 - 1,D,15.144916919201496,71.55414019241579,13.300942888382728
197,20,30/12/2018 14:15,Turf Moor,Burnley,West Ham,2 - 0,D,15.468110152450198,66.34916284338031,18.18272700416948
